Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
FALSE,more,married,none_primary_only,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
FALSE,same,married,higher_edu,agree,tap_communal,High School,Destroyed/No House,"<2,500",1 or less,own_toilet
FALSE,more,married,secondary,agree,tap_hh,Primary,Destroyed/No House,"<2,500",No land,shared_toilet
FALSE,more,single,higher_edu,agree,tap_hh,Graduate,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
FALSE,skip,married,none_primary_only,neither,tap_hh,Elementary,Destroyed/No House,"<2,500",No land,shared_toilet
FALSE,less,living_together,higher_edu,agree,tap_hh,Primary,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,skip,living_together,none_primary_only,agree,tap_hh,Primary,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,more,living_together,higher_edu,agree,tap_hh,Graduate,High Damage Level,"5,001 - 10,000",1 or less,own_toilet
TRUE,n/a,married,higher_edu,agree,tap_hh,High School,Destroyed/No House,"<2,500",No land,own_toilet
FALSE,more,living_together,secondary,agree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,less,married,none_primary_only,agree,well_shallow,Graduate,Medium Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,more,married,secondary,agree,well_shallow,Graduate,Destroyed/No House,"5,001 - 10,000",No land,shared_toilet
FALSE,more,living_together,higher_edu,agree,other,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,same,living_together,none_primary_only,agree,well_shallow,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,dk,married,none_primary_only,agree,tap_hh,High School,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,same,married,secondary,agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,more,living_together,none_primary_only,agree,tap_hh,Elementary,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,more,living_together,secondary,agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,widowed,none_primary_only,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,same,married,none_primary_only,agree,well_shallow,Graduate,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,more,living_together,secondary,strongly_disagree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,more,married,higher_edu,agree,tap_hh,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
FALSE,skip,married,higher_edu,strongly_agree,tap_hh,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,same,living_together,none_primary_only,agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,less,married,none_primary_only,dont_know,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,living_together,none_primary_only,agree,hand_pump,High School,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,skip,married,none_primary_only,agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,less,living_together,secondary,agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,skip,living_together,secondary,agree,well_shallow,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,none_primary_only,disagree,tap_hh,Primary,Low Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,living_together,higher_edu,disagree,purchased,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",1 or less,own_toilet
TRUE,more,married,none_primary_only,neither,tap_hh,Graduate,No Damage/Fully Repaired,"5,001 - 10,000",No land,own_toilet
FALSE,more,living_together,secondary,disagree,tap_hh,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,secondary,agree,tap_communal,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,less,living_together,higher_edu,agree,tap_hh,Primary,Medium Damage Level,"5,001 - 10,000",No land,shared_toilet
FALSE,more,living_together,none_primary_only,agree,tap_hh,High School,No Damage/Fully Repaired,"5,001 - 10,000",1 or less,own_toilet
TRUE,more,married,none_primary_only,agree,well_shallow,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,more,living_together,none_primary_only,strongly_disagree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,less,widowed,none_primary_only,strongly_agree,well_shallow,High School,Low Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,less,married,secondary,strongly_disagree,tap_hh,Elementary,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,same,married,none_primary_only,agree,tap_communal,Graduate,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,same,living_together,secondary,agree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,less,widowed,secondary,agree,tap_hh,Elementary,Low Damage Level,"<2,500",No land,shared_toilet
TRUE,same,married,none_primary_only,neither,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,secondary,strongly_disagree,well_shallow,High School,Low Damage Level,"<2,500",No land,own_toilet
TRUE,more,married,higher_edu,agree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,more,married,none_primary_only,agree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,secondary,agree,tap_hh,Graduate,Medium Damage Level,"5,001 - 10,000",No land,shared_toilet
FALSE,n/a,living_together,secondary,agree,well_shallow,Graduate,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,n/a,living_together,none_primary_only,strongly_disagree,well_shallow,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,none_primary_only,strongly_disagree,other,Graduate,Low Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,more,living_together,secondary,strongly_disagree,river,Primary,Low Damage Level,"<2,500",No land,own_toilet
TRUE,more,married,secondary,agree,purchased,High School,Medium Damage Level,"<2,500",No land,#N/A
TRUE,more,married,none_primary_only,strongly_disagree,other,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,less,married,none_primary_only,strongly_disagree,purchased,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,secondary,dont_know,other,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,tap_hh,High School,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,less,separated,secondary,agree,river,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,secondary,agree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,married,none_primary_only,strongly_agree,river,Graduate,No Damage/Fully Repaired,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,living_together,none_primary_only,agree,purchased,High School,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,well_shallow,High School,No Damage/Fully Repaired,"5,001 - 10,000",No land,own_toilet
FALSE,n/a,married,secondary,strongly_disagree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,none_primary_only,strongly_disagree,river,Elementary,Medium Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,married,secondary,strongly_agree,river,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,dk,living_together,none_primary_only,agree,river,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",No land,own_toilet
FALSE,less,widowed,secondary,agree,well_shallow,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,secondary,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,tap_hh,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,well_shallow,Graduate,Low Damage Level,"5,001 - 10,000",1 or less,own_toilet
FALSE,more,married,higher_edu,strongly_disagree,tap_hh,Graduate,Medium Damage Level,"2,500 - 5,000",1 or less,own_toilet
FALSE,less,married,secondary,dont_know,well_shallow,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,more,married,none_primary_only,strongly_disagree,tap_hh,High School,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,same,widowed,none_primary_only,strongly_disagree,other,Graduate,Low Damage Level,"5,001 - 10,000",1 or less,own_toilet
FALSE,more,married,secondary,strongly_disagree,tap_hh,High School,No Damage/Fully Repaired,"2,500 - 5,000",No land,own_toilet
FALSE,same,married,secondary,strongly_disagree,tap_hh,Graduate,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,skip,living_together,none_primary_only,disagree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,more,widowed,higher_edu,strongly_disagree,well_shallow,High School,Low Damage Level,"<2,500",No land,shared_toilet
FALSE,dk,living_together,higher_edu,strongly_disagree,purchased,Graduate,Medium Damage Level,"5,001 - 10,000",No land,shared_toilet
FALSE,more,living_together,higher_edu,agree,purchased,High School,Low Damage Level,"<2,500",1 or less,own_toilet
TRUE,same,widowed,secondary,agree,tap_hh,High School,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,same,widowed,secondary,agree,river,High School,Medium Damage Level,"5,001 - 10,000",No land,#N/A
FALSE,more,living_together,none_primary_only,strongly_agree,other,Elementary,Low Damage Level,"5,001 - 10,000",2.01 - 10,own_toilet
FALSE,same,married,secondary,agree,tap_hh,Graduate,Medium Damage Level,"2,500 - 5,000",2.01 - 10,own_toilet
FALSE,same,married,none_primary_only,agree,river,Graduate,No Damage/Fully Repaired,"2,500 - 5,000",No land,shared_toilet
TRUE,more,widowed,higher_edu,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,living_together,secondary,agree,well_shallow,Elementary,Low Damage Level,"5,001 - 10,000",1 or less,shared_toilet
TRUE,less,single,none_primary_only,agree,well_shallow,High School,High Damage Level,"<2,500",1 or less,own_toilet
FALSE,more,separated,none_primary_only,agree,river,Graduate,Low Damage Level," >15,000",1 or less,own_toilet
FALSE,more,married,none_primary_only,agree,river,Graduate,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,less,married,higher_edu,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,secondary,agree,other,High School,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,n/a,widowed,none_primary_only,strongly_agree,river,High School,Destroyed/No House,"5,001 - 10,000",No land,shared_toilet
FALSE,more,married,secondary,strongly_agree,well_shallow,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,more,married,secondary,strongly_agree,well_shallow,High School,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,more,married,none_primary_only,strongly_disagree,well_shallow,High School,High Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,skip,married,secondary,strongly_agree,other,Graduate,Low Damage Level,"<2,500",No land,own_toilet
TRUE,same,married,none_primary_only,strongly_disagree,river,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,other,Elementary,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
FALSE,more,married,secondary,agree,purchased,Graduate,High Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,married,none_primary_only,strongly_agree,well_shallow,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,strongly_disagree,well_shallow,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,more,living_together,none_primary_only,strongly_agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,n/a,widowed,secondary,strongly_disagree,purchased,High School,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,more,married,secondary,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,more,married,secondary,agree,river,High School,Medium Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,skip,living_together,none_primary_only,strongly_disagree,other,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,more,living_together,secondary,dont_know,other,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,secondary,agree,river,Graduate,Low Damage Level,"2,500 - 5,000",1 or less,shared_toilet
FALSE,n/a,married,none_primary_only,agree,river,Elementary,Low Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,n/a,separated,none_primary_only,strongly_disagree,well_shallow,High School,Low Damage Level,"5,001 - 10,000",1 or less,shared_toilet
TRUE,n/a,married,higher_edu,agree,well_shallow,Graduate,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,secondary,agree,well_shallow,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,secondary,agree,well_shallow,Elementary,No Damage/Fully Repaired,"5,001 - 10,000",No land,shared_toilet
TRUE,n/a,married,none_primary_only,agree,tap_hh,High School,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,secondary,strongly_disagree,river,High School,Low Damage Level,"10,001 - 15,000",No land,own_toilet
TRUE,n/a,widowed,none_primary_only,disagree,tap_communal,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,living_together,none_primary_only,agree,well_shallow,High School,No Damage/Fully Repaired,"5,001 - 10,000",No land,shared_toilet
TRUE,n/a,married,none_primary_only,strongly_disagree,well_shallow,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,living_together,secondary,agree,tap_hh,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,living_together,none_primary_only,agree,well_shallow,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,living_together,none_primary_only,agree,river,Graduate,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,living_together,none_primary_only,strongly_disagree,well_shallow,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,living_together,none_primary_only,strongly_agree,tap_hh,High School,Destroyed/No House,"2,500 - 5,000",No land,#N/A
TRUE,n/a,married,none_primary_only,agree,well_shallow,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,secondary,strongly_disagree,well_shallow,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,living_together,secondary,strongly_agree,well_shallow,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,secondary,strongly_agree,well_shallow,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,living_together,secondary,strongly_agree,well_shallow,Graduate,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,n/a,married,none_primary_only,agree,purchased,Graduate,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,agree,well_shallow,High School,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,widowed,none_primary_only,strongly_agree,well_shallow,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,n/a,married,higher_edu,agree,well_shallow,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,secondary,strongly_agree,river,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,living_together,secondary,agree,river,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,separated,none_primary_only,dont_know,river,Primary,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,n/a,single,secondary,strongly_agree,river,Elementary,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,n/a,living_together,none_primary_only,dont_know,tap_hh,High School,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,married,none_primary_only,dont_know,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,higher_edu,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,secondary,strongly_disagree,tap_hh,Graduate,Destroyed/No House,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,strongly_disagree,purchased,High School,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,n/a,single,secondary,agree,purchased,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,strongly_disagree,well_shallow,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
